"","Day","Step","Row","Column","X","Y","Agent"
"1",59,34,1064,69,-124.1626389117,40.1290281323,1
"2",56,36,1957,899,-117.2459725217,32.6873617633,2
"3",61,33,1828,761,-118.3959724757,33.7623617203,3
"4",60,31,1658,476,-120.7709723807,35.1790283303,4
"5",56,39,547,79,-124.0793055817,44.4373612933,5
"6",61,35,1619,445,-121.0293057037,35.5040283173,6
"7",62,33,1283,201,-123.0626389557,38.3040282053,7
"8",61,35,1543,531,-120.3126390657,36.1373616253,8
"9",59,35,1177,116,-123.7709722607,39.1873615033,9
"10",70,34,1783,671,-119.1459724457,34.1373617053,10
"11",57,34,1444,334,-121.9543056667,36.9623615923,11
"12",65,37,1958,899,-117.2459725217,32.6790284303,12
"13",60,32,1974,915,-117.1126391937,32.5456951023,13
"14",56,32,329,98,-123.9209722547,46.2540278873,14
"15",64,39,1282,201,-123.0626389557,38.3123615383,15
"16",58,33,1315,220,-122.9043056287,38.0373615493,16
"17",64,34,1974,915,-117.1126391937,32.5456951023,17
"18",56,34,1378,330,-121.9876389987,37.5123615703,18
"19",59,39,1643,465,-120.8626390437,35.3040283253,19
"20",59,38,1975,915,-117.1126391937,32.5373617693,20
"21",56,37,1308,397,-121.4293056877,38.0956948803,21
"22",59,39,1502,508,-120.5043057247,36.4790282783,22
"23",61,36,1628,595,-119.7793057537,35.4290283203,23
"24",61,37,1786,673,-119.1293057797,34.1123617063,24
"25",58,40,1765,650,-119.3209724387,34.2873616993,25
"26",59,39,1958,899,-117.2459725217,32.6790284303,26
"27",56,34,1830,761,-118.3959724757,33.7456950543,27
"28",59,36,1635,469,-120.8293057117,35.3706949893,28
"29",62,31,1445,331,-121.9793056657,36.9540282593,29
"30",60,31,1609,805,-118.0293058237,35.5873616473,30
"31",61,36,1376,329,-121.9959723317,37.5290282363,31
"32",61,35,675,49,-124.3293055717,43.3706946693,32
"33",62,37,1374,329,-121.9959723317,37.5456949023,33
"34",58,33,1787,673,-119.1293057797,34.1040283733,34
"35",61,35,1830,761,-118.3959724757,33.7456950543,35
"36",58,39,1233,153,-123.4626389397,38.7206948553,36
"37",59,37,1282,201,-123.0626389557,38.3123615383,37
"38",59,33,1061,65,-124.1959722437,40.1540281313,38
"39",58,34,1331,245,-122.6959723037,37.9040282213,39
"40",56,40,1635,583,-119.8793057497,35.3706949893,40
"41",55,34,547,80,-124.0709722487,44.4373612933,41
"42",58,37,1958,899,-117.2459725217,32.6790284303,42
"43",64,30,1573,-66,-125.2876388667,35.8873616353,43
"44",62,39,1283,201,-123.0626389557,38.3040282053,44
"45",63,38,1281,201,-123.0626389557,38.3206948713,45
"46",60,34,1601,422,-121.2209723627,35.6540283113,46
"47",57,38,1599,416,-121.2709723607,35.6706949773,47
"48",61,37,1953,908,-117.1709725247,32.7206950953,48
"49",61,33,1142,118,-123.7543055947,39.4790281583,49
"50",65,36,1439,328,-122.0043056647,37.0040282573,50
"51",58,32,1282,201,-123.0626389557,38.3123615383,51
"52",59,36,1653,496,-120.6043057207,35.2206949953,52
"53",59,34,329,100,-123.9043055887,46.2540278873,53
"54",57,37,675,50,-124.3209722387,43.3706946693,54
"55",54,31,867,63,-124.2126389097,41.7706947333,55
"56",60,33,32,250,-122.6543056387,48.7290277883,56
"57",62,34,635,65,-124.1959722437,43.7040279893,57
"58",56,35,1064,69,-124.1626389117,40.1290281323,58
"59",58,24,1750,597,-119.7626390877,34.4123616943,59
"60",66,35,1533,489,-120.6626390517,36.2206949553,60
"61",66,29,1745,512,-120.4709723927,34.4540283593,61
"62",62,33,1830,760,-118.4043058087,33.7456950543,62
"63",64,33,1444,332,-121.9709723327,36.9623615923,63
"64",56,35,675,50,-124.3209722387,43.3706946693,64
"65",57,25,1074,81,-124.0626389157,40.0456948023,65
"66",60,33,1074,80,-124.0709722487,40.0456948023,66
"67",58,31,1225,142,-123.5543056027,38.7873615193,67
"68",62,36,1292,230,-122.8209722987,38.2290282083,68
"69",59,33,1786,674,-119.1209724467,34.1123617063,69
"70",64,28,1614,438,-121.0876390347,35.5456949823,70
"71",62,42,1358,308,-122.1709723247,37.6790282303,71
"72",63,25,1599,419,-121.2459723617,35.6706949773,72
"73",55,25,1731,495,-120.6126390537,34.5706950213,73
"74",62,38,1878,868,-117.5043058447,33.3456950703,74
"75",57,36,1443,333,-121.9626389997,36.9706949253,75
"76",60,34,866,58,-124.2543055747,41.7790280663,76
"77",64,34,1310,303,-122.2126389897,38.0790282143,77
"78",60,36,1660,487,-120.6793057177,35.1623616643,78
"79",56,37,675,50,-124.3209722387,43.3706946693,79
"80",61,38,1602,424,-121.2043056967,35.6456949783,80
"81",60,37,1975,915,-117.1126391937,32.5373617693,81
"82",57,33,1784,670,-119.1543057787,34.1290283723,82
"83",61,34,1765,652,-119.3043057727,34.2873616993,83
"84",58,37,1192,126,-123.6876389307,39.0623615083,84
"85",61,39,1972,938,-116.9209725347,32.5623617683,85
"86",60,33,986,63,-124.2126389097,40.7790281063,86
"87",63,29,986,63,-124.2126389097,40.7790281063,87
"88",65,36,1282,201,-123.0626389557,38.3123615383,88
"89",57,36,1828,759,-118.4126391417,33.7623617203,89
"90",57,35,1332,245,-122.6959723037,37.8956948883,90
"91",59,35,1546,374,-121.6209723467,36.1123616263,91
"92",60,27,1341,265,-122.5293056437,37.8206948913,92
"93",60,28,1076,83,-124.0459722497,40.0290281363,93
"94",60,34,1660,487,-120.6793057177,35.1623616643,94
"95",64,32,1063,67,-124.1793055777,40.1373614653,95
"96",63,37,674,51,-124.3126389057,43.3790280023,96
"97",60,36,1894,882,-117.3876391827,33.2123617423,97
"98",58,36,1315,220,-122.9043056287,38.0373615493,98
"99",62,38,1546,374,-121.6209723467,36.1123616263,99
"100",61,32,1958,900,-117.2376391887,32.6790284303,100
"101",56,34,636,65,-124.1959722437,43.6956946563,101
"102",59,35,1228,147,-123.5126389377,38.7623615203,102
"103",59,34,1239,347,-121.8459723377,38.6706948573,103
"104",56,33,1632,467,-120.8459723777,35.3956949883,104
"105",60,36,1282,201,-123.0626389557,38.3123615383,105
"106",61,35,1231,152,-123.4709722727,38.7373615213,106
"107",58,34,1753,627,-119.5126390977,34.3873616953,107
"108",63,28,1554,462,-120.8876390427,36.0456949623,108
"109",59,35,1294,217,-122.9293056277,38.2123615423,109
"110",58,27,1975,915,-117.1126391937,32.5373617693,110
"111",57,34,635,66,-124.1876389107,43.7040279893,111
"112",59,33,1974,914,-117.1209725267,32.5456951023,112
"113",61,34,1582,573,-119.9626390797,35.8123616383,113
"114",61,34,1076,82,-124.0543055827,40.0290281363,114
"115",55,36,1732,493,-120.6293057197,34.5623616883,115
"116",59,40,547,79,-124.0793055817,44.4373612933,116
"117",59,35,1487,340,-121.9043056687,36.6040282733,117
"118",58,37,987,62,-124.2209722427,40.7706947733,118
"119",57,36,1670,538,-120.2543057347,35.0790283343,119
"120",64,31,1557,449,-120.9959723717,36.0206949633,120
"121",56,36,1976,882,-117.3876391827,32.5290284363,121
"122",57,35,1212,126,-123.6876389307,38.8956948483,122
"123",57,34,1315,219,-122.9126389617,38.0373615493,123
"124",59,34,1210,125,-123.6959722637,38.9123615143,124
"125",60,38,1256,179,-123.2459722817,38.5290281963,125
"126",60,39,869,65,-124.1959722437,41.7540280673,126
