"","Day","Step","Row","Column","X","Y","Agent"
"1",54,55,1462,854,-117.620833333333,36.8095157015326,1
"2",54,55,1061,579,-119.9125,40.1511823681993,2
"3",37,24,1659,486,-120.6875,35.167849034866,3
"4",54,55,1539,806,-118.020833333333,36.167849034866,4
"5",54,55,1540,602,-119.720833333333,36.1595157015326,5
"6",54,55,1398,653,-119.295833333333,37.342849034866,6
"7",54,55,1608,485,-120.695833333333,35.592849034866,7
"8",54,55,1106,448,-121.004166666667,39.7761823681993,8
"9",54,55,1526,621,-119.5625,36.2761823681993,9
"10",54,55,1633,560,-120.070833333333,35.3845157015326,10
"11",38,13,1659,485,-120.695833333333,35.167849034866,11
"12",54,55,1655,504,-120.5375,35.2011823681993,12
"13",34,20,1659,486,-120.6875,35.167849034866,13
"14",54,55,1379,762,-118.3875,37.5011823681993,14
"15",54,55,1618,493,-120.629166666667,35.5095157015326,15
"16",54,55,1567,576,-119.9375,35.9345157015326,16
"17",54,55,954,502,-120.554166666667,41.042849034866,17
"18",54,55,1360,549,-120.1625,37.6595157015326,18
"19",54,55,1575,741,-118.5625,35.867849034866,19
"20",54,55,1371,533,-120.295833333333,37.567849034866,20
"21",54,55,1482,598,-119.754166666667,36.6428490348659,21
"22",29,22,1659,486,-120.6875,35.167849034866,22
"23",54,55,1327,465,-120.8625,37.9345157015326,23
"24",47,5,1659,486,-120.6875,35.167849034866,24
"25",54,55,1304,824,-117.870833333333,38.1261823681993,25
"26",54,7,1656,490,-120.654166666667,35.192849034866,26
"27",33,12,1659,486,-120.6875,35.167849034866,27
"28",54,55,1321,852,-117.6375,37.9845157015326,28
"29",54,55,1371,785,-118.195833333333,37.567849034866,29
"30",54,55,1572,540,-120.2375,35.8928490348659,30
"31",49,18,1659,486,-120.6875,35.167849034866,31
"32",34,9,1659,486,-120.6875,35.167849034866,32
"33",54,55,1589,582,-119.8875,35.7511823681993,33
"34",54,55,1216,622,-119.554166666667,38.8595157015326,34
"35",43,16,1658,485,-120.695833333333,35.1761823681993,35
"36",54,55,1306,358,-121.754166666667,38.1095157015326,36
"37",54,55,1277,633,-119.4625,38.3511823681993,37
"38",54,55,1575,500,-120.570833333333,35.867849034866,38
"39",54,55,1565,574,-119.954166666667,35.9511823681993,39
"40",54,55,1527,501,-120.5625,36.2678490348659,40
"41",29,49,1658,485,-120.695833333333,35.1761823681993,41
"42",54,55,1633,566,-120.020833333333,35.3845157015326,42
"43",54,55,1586,743,-118.545833333333,35.7761823681993,43
"44",54,55,1181,541,-120.229166666667,39.1511823681993,44
"45",54,55,1459,791,-118.145833333333,36.8345157015326,45
"46",54,55,1131,553,-120.129166666667,39.567849034866,46
"47",54,55,1245,542,-120.220833333333,38.617849034866,47
"48",54,55,931,673,-119.129166666667,41.2345157015326,48
"49",54,55,1188,953,-116.795833333333,39.092849034866,49
"50",54,55,1290,570,-119.9875,38.242849034866,50
"51",54,55,1446,560,-120.070833333333,36.942849034866,51
"52",54,55,1556,615,-119.6125,36.0261823681993,52
"53",27,21,1658,485,-120.695833333333,35.1761823681993,53
"54",54,55,1531,660,-119.2375,36.2345157015326,54
"55",54,55,1395,707,-118.845833333333,37.367849034866,55
"56",49,11,1658,485,-120.695833333333,35.1761823681993,56
"57",52,25,1658,485,-120.695833333333,35.1761823681993,57
"58",54,55,1290,479,-120.745833333333,38.242849034866,58
"59",49,18,1658,485,-120.695833333333,35.1761823681993,59
"60",54,55,1493,799,-118.079166666667,36.5511823681993,60
"61",54,55,1615,591,-119.8125,35.5345157015326,61
"62",54,55,1618,604,-119.704166666667,35.5095157015326,62
"63",54,55,1615,507,-120.5125,35.5345157015326,63
"64",47,11,1659,485,-120.695833333333,35.167849034866,64
"65",54,55,1264,693,-118.9625,38.4595157015326,65
"66",54,51,1659,491,-120.645833333333,35.167849034866,66
"67",54,55,1264,563,-120.045833333333,38.4595157015326,67
"68",44,45,1658,485,-120.695833333333,35.1761823681993,68
"69",54,55,1250,612,-119.6375,38.5761823681993,69
"70",54,55,1441,892,-117.304166666667,36.9845157015326,70
"71",54,55,1345,542,-120.220833333333,37.7845157015326,71
"72",33,18,1658,485,-120.695833333333,35.1761823681993,72
"73",54,55,1540,624,-119.5375,36.1595157015326,73
"74",54,55,1593,554,-120.120833333333,35.717849034866,74
"75",54,55,1401,592,-119.804166666667,37.317849034866,75
"76",38,12,1659,486,-120.6875,35.167849034866,76
"77",54,55,1621,492,-120.6375,35.4845157015326,77
"78",45,13,1659,486,-120.6875,35.167849034866,78
"79",41,8,1659,486,-120.6875,35.167849034866,79
"80",54,36,1659,486,-120.6875,35.167849034866,80
"81",54,55,1135,731,-118.645833333333,39.5345157015326,81
"82",37,11,1659,486,-120.6875,35.167849034866,82
"83",54,55,1443,443,-121.045833333333,36.967849034866,83
"84",52,15,1658,485,-120.695833333333,35.1761823681993,84
"85",34,8,1659,486,-120.6875,35.167849034866,85
"86",35,30,1658,485,-120.695833333333,35.1761823681993,86
"87",53,5,1658,485,-120.695833333333,35.1761823681993,87
"88",54,55,1378,685,-119.029166666667,37.5095157015326,88
"89",54,55,1255,438,-121.0875,38.5345157015326,89
"90",54,55,1509,590,-119.820833333333,36.417849034866,90
