"","Day","Step","Row","Column","X","Y","Agent"
"1",58,56,1834,957,-116.7626392077,33.7123617223,1
"2",58,56,828,51,-124.3126389057,42.0956947203,2
"3",58,56,1829,763,-118.3793058097,33.7540283873,3
"4",58,56,1971,949,-116.8293058717,32.5706951013,4
"5",58,56,1652,506,-120.5209723907,35.2290283283,5
"6",58,56,1403,433,-121.1293056997,37.3040282453,6
"7",58,56,1049,51,-124.3126389057,40.2540281273,7
"8",58,56,324,81,-124.0626389157,46.2956945523,8
"9",58,56,1690,551,-120.1459724057,34.9123616743,9
"10",61,56,1957,899,-117.2459725217,32.6873617633,10
"11",35,10,1629,466,-120.8543057107,35.4206949873,11
"12",61,56,1829,760,-118.4043058087,33.7540283873,12
"13",30,13,1444,331,-121.9793056657,36.9623615923,13
"14",61,56,1501,661,-119.2293057757,36.4873616113,14
"15",61,56,1047,47,-124.3459722377,40.2706947933,15
"16",58,51,1631,466,-120.8543057107,35.4040283213,16
"17",61,56,623,70,-124.1543055787,43.8040279853,17
"18",61,56,1047,47,-124.3459722377,40.2706947933,18
"19",59,53,1973,915,-117.1126391937,32.5540284353,19
"20",55,52,1111,111,-123.8126389257,39.7373614813,20
"21",62,53,1537,408,-121.3376390247,36.1873616233,21
"22",62,53,1783,670,-119.1543057787,34.1373617053,22
"23",62,53,834,60,-124.2376389087,42.0456947223,23
"24",62,53,1829,767,-118.3459724777,33.7540283873,24
"25",62,53,1506,779,-118.2459724817,36.4456949463,25
"26",62,53,986,63,-124.2126389097,40.7790281063,26
"27",56,50,1591,411,-121.3126390257,35.7373616413,27
"28",58,51,1452,867,-117.5126391777,36.8956949283,28
"29",61,53,1504,757,-118.4293058077,36.4623616123,29
"30",62,49,1521,343,-121.8793056697,36.3206949513,30
"31",62,49,1576,400,-121.4043056887,35.8623616363,31
"32",62,49,1729,492,-120.6376390527,34.5873616873,32
"33",60,15,1746,591,-119.8126390857,34.4456950263,33
"34",62,49,1066,144,-123.5376389367,40.1123614663,34
"35",62,49,1521,343,-121.8793056697,36.3206949513,35
"36",62,57,987,62,-124.2209722427,40.7706947733,36
"37",53,51,1082,299,-122.2459723217,39.9790281383,37
"38",62,54,1218,133,-123.6293055997,38.8456948503,38
"39",58,31,1632,466,-120.8543057107,35.3956949883,39
"40",53,55,1048,49,-124.3293055717,40.2623614603,40
"41",53,55,1743,513,-120.4626390597,34.4706950253,41
"42",53,55,1956,899,-117.2459725217,32.6956950963,42
"43",60,48,1970,913,-117.1293058597,32.5790284343,43
"44",53,55,826,49,-124.3293055717,42.1123613863,44
"45",59,54,1787,775,-118.2793058137,34.1040283733,45
"46",53,55,826,49,-124.3293055717,42.1123613863,46
"47",54,52,974,76,-124.1043055807,40.8790281023,47
"48",58,49,769,174,-123.2876389467,42.5873613673,48
"49",60,46,1330,901,-117.2293058557,37.9123615543,49
"50",58,49,1055,60,-124.2376389087,40.2040281293,50
"51",58,49,1249,171,-123.3126389457,38.5873615273,51
"52",58,49,1753,652,-119.3043057727,34.3873616953,52
"53",59,51,1596,416,-121.2709723607,35.6956949763,53
"54",58,49,1755,726,-118.6876391307,34.3706950293,54
"55",57,43,1464,654,-119.2876391067,36.7956949323,55
"56",59,55,1223,140,-123.5709722687,38.8040281853,56
"57",57,55,1046,48,-124.3376389047,40.2790281263,57
